,condition,User ID,Baseline,Day 1,Day 2,Day 3,Day 4,Day 5,Weekend 1,Day 6,Day 7,Day 8,Day 9,Day 10,Weekend 2,Norstat ID
104,4,111712,1,1,1,0,1,1,1,1,1,1,1,1,1,3YVN2MBm3Z59bRn5
105,1,111713,1,0,0,1,0,0,1,1,1,0,0,1,1,Yxq827lLGaN9MWZ0
106,3,111714,1,0,0,0,0,0,1,0,0,0,0,0,1,Elb8AvXKYGp2pLX5
107,1,111715,1,0,1,1,1,1,1,1,1,1,1,1,1,GQq8AVlXk6m2lWZ3
108,2,111716,1,0,0,0,0,0,1,0,0,0,0,0,1,xgOVA18PnjR9elJ1
109,2,111717,1,1,1,0,1,1,1,1,0,0,0,0,1,NaBzAB0WQ7R2YyVM
110,5,111718,1,1,1,1,0,1,1,1,1,1,1,1,1,JLQkAYXMwmK9OeDG
111,1,111719,1,0,0,0,0,1,1,1,1,1,0,0,1,Elb8AvXpYeJ2pLX5
112,2,111720,1,1,0,1,1,1,1,1,1,0,1,1,1,jnWOo08VbNmoXzex
113,1,111721,1,0,1,1,1,1,1,1,1,1,1,1,1,vGWjoqjbJP82zDOX
114,2,111722,1,0,1,1,1,1,1,1,1,1,1,1,1,LDen9KLN43NAElVw
115,1,111723,1,0,0,1,0,1,1,1,0,1,1,0,1,Vj6N98gEQqG28drl
116,1,111729,1,0,1,1,1,1,1,1,1,0,1,1,1,Vj6N98wP05N28drl
117,5,111733,1,1,1,1,1,1,1,1,1,1,1,1,1,jnWOo0XZPW6oXzex
118,4,111734,1,1,1,1,1,0,1,1,0,1,1,1,1,lzD49LXmX3e93Vr8
119,3,111735,1,0,0,0,1,1,1,0,1,0,1,1,1,W7mLA58zGgL9N6n1
120,2,111737,1,1,1,1,1,1,1,1,0,1,1,1,1,5nJ4Ap5MLnRoG3kx
121,5,111738,1,0,0,0,0,1,1,1,1,0,0,1,1,RWLV2ZbpM3525vN3
122,2,111739,1,0,1,1,1,1,1,1,1,1,1,1,1,yNedoaz4KKK2MEjw
123,3,111740,1,0,0,0,0,0,1,0,1,1,1,1,1,QGYe2jXwR3JAgrXp
124,4,111741,1,0,0,0,0,0,1,0,0,0,0,0,1,xgOVA156kyRAelJ1
125,3,111742,1,1,1,1,1,1,1,1,1,1,1,1,1,Yxq827djM5b9MWZ0
126,5,111743,1,0,1,1,1,1,1,1,1,1,1,1,1,BdVOAGX41wpo68JL
127,4,111745,1,1,1,1,1,1,1,1,1,1,1,1,1,Vw142rvB6mb2aNPX
128,4,111746,1,1,1,1,1,0,1,1,1,1,0,1,1,lzD49L4MG0e93Vr8
129,3,111747,1,0,0,1,1,1,1,1,0,1,0,0,1,BdVOAGxP0NEo68JL
130,3,111751,1,1,1,1,0,1,1,1,1,1,1,1,1,GLPp2OpXGXZ903ym
131,2,111757,1,1,1,1,1,1,1,1,1,1,1,1,1,aX8boPk66GkAOJrM
132,2,111761,1,0,0,0,0,0,1,0,0,0,0,0,1,mKPv9zwkgb4AyWe7
133,5,111765,1,1,1,1,1,1,1,1,1,1,1,1,1,GLPp2OXxpqD903ym
134,2,111766,1,0,0,0,0,0,1,1,1,0,1,1,99,EZ8qoxjDeWQ96JVW
135,3,111778,1,0,0,1,1,1,1,1,1,1,1,1,1,YXrqo4Zb5EV9MZdm
136,3,111789,1,1,1,1,1,1,1,1,1,1,0,1,1,5YwxodbVwMX9Oylz
137,2,111824,1,1,1,1,1,1,1,1,1,1,1,0,1,nKY7owGj3P3oG3v4
138,3,111825,1,1,1,1,0,0,1,1,0,1,1,1,1,5Ywxodbjjav9Oylz
139,1,111827,1,0,1,1,1,1,1,1,1,1,1,1,1,yNedoazrJgM2MEjw
140,1,111828,1,0,1,1,1,1,1,1,1,1,0,0,1,5Ywxodj1YPQ9Oylz
141,1,111829,1,0,1,1,0,0,1,1,0,1,1,1,1,5nJ4ApEjL44oG3kx
142,2,111830,1,1,1,1,1,1,1,1,1,1,1,1,1,XNdYoQe8wyQoWq1r
143,2,111831,1,0,0,0,1,0,1,1,0,0,0,0,1,nKY7owO8Qw8oG3v4
144,2,111832,1,0,1,1,1,1,1,1,1,1,1,1,1,LDen9KrlB6y2ElVw
145,1,111833,1,0,0,0,1,0,1,1,0,0,0,0,99,p3MN235k8O4Al1ag
146,1,111834,1,0,1,1,1,1,1,1,1,1,1,1,1,qRZK2gjgB7yobdka
147,3,111835,1,1,1,1,1,1,1,1,1,1,1,1,1,Dg7LANXkg7v2zm8y
148,2,111836,1,1,1,1,1,1,1,1,1,1,1,1,1,Dg7LANXYkdb2zm8y
149,5,111837,1,1,1,1,1,1,1,1,1,1,1,1,1,5nJ4Apj04542G3kx
150,3,111844,1,1,1,0,1,1,1,1,1,1,1,1,1,GlMq9eXGMBV2DpXY
151,1,111847,1,0,0,1,1,1,1,1,1,1,1,0,1,D5je9bXmPg7oRMYl
152,2,111859,1,1,1,1,1,1,1,1,1,1,1,1,1,VXGWAkXBZbOovNZ0
153,1,111866,1,0,1,1,1,1,1,1,0,0,0,0,99,3YVN2MBZKjN9bRn5
154,3,111877,1,1,1,1,1,1,1,1,0,1,1,1,1,EZ8qox1YddQ26JVW
155,3,111878,1,1,1,1,1,1,1,1,0,1,1,1,1,Yxq827vYZBBoMWZ0
156,5,111882,1,0,0,0,0,0,1,0,0,0,0,0,1,XNdYoQerZXyoWq1r
157,4,111952,1,0,1,0,0,0,1,0,0,1,0,0,1,LDen9KLXxY3AElVw
158,1,111955,1,0,1,1,1,0,1,1,1,1,1,1,1,jnWOo0RLlaX9Xzex
159,1,111980,1,0,1,1,1,1,1,1,1,1,1,1,1,5Ywxodj8qmX9Oylz
160,4,111981,1,1,1,1,1,1,1,1,1,1,1,1,1,aX8boPlRYy0oOJrM
161,1,111986,1,0,0,0,0,1,1,0,1,0,0,0,1,p3MN2343MEB9l1ag
162,2,111987,1,1,1,1,1,1,1,1,1,1,1,1,1,RWLV2Z0O1qJA5vN3
163,3,111988,1,0,0,0,0,1,1,0,1,1,1,1,1,jnWOo08gWgmoXzex
164,2,111989,1,1,0,0,1,0,1,0,0,0,1,0,1,Elb8AvBEmReApLX5
165,5,111990,1,1,1,1,1,1,1,1,1,1,1,1,1,mKPv9zwXQMNAyWe7
166,1,111991,1,0,1,1,1,1,1,1,1,0,1,1,1,ybDaoyX3DlZAQdvY
167,3,111992,1,1,1,1,1,1,1,1,1,1,1,1,1,jYWQA6pMMrJ2PXKz
168,3,111994,1,0,0,0,0,0,1,0,0,1,0,0,1,Vj6N98wRJVw28drl
169,2,112009,1,1,1,1,0,1,1,1,1,1,1,1,1,3YVN2MBNlkV9bRn5
170,4,112011,1,0,0,0,0,0,1,0,0,0,0,1,1,Elb8AvX0xe52pLX5
171,4,112012,1,1,1,0,0,0,1,1,1,1,1,1,1,Yxq827dlgGa9MWZ0
172,5,112016,1,1,1,1,1,1,1,1,0,1,1,1,1,YXrqo4BPQLg9MZdm
173,3,112045,1,0,1,0,1,1,1,0,0,1,1,0,99,jYWQA6pDljW2PXKz
174,1,112051,1,0,1,1,1,1,1,1,1,1,1,1,1,W7mLA5yRM6dAN6n1
175,2,112069,1,1,0,1,1,1,1,1,1,1,1,1,1,5YwxodbjEdQ9Oylz
176,3,112082,1,1,1,1,1,1,1,1,1,1,1,1,1,5nJ4ApErRG0oG3kx
177,1,112085,1,0,1,1,1,1,1,1,1,1,1,1,1,JLQkAYVV534oOeDG
178,2,112086,1,1,1,1,1,1,1,1,1,1,1,1,1,mKPv9zWOZWaAyWe7
179,3,112087,1,1,1,1,1,1,1,1,1,1,1,1,1,yNedoam73JeoMEjw
180,1,112089,1,0,1,1,1,1,1,1,1,1,1,1,1,5nJ4ApbP4Ne2G3kx
181,3,112090,1,1,1,1,1,1,1,1,1,1,1,1,1,LKkR2XkE1k0oZaYV
182,2,112097,1,0,1,0,0,1,1,0,1,1,1,1,1,nKY7owXwzGd2G3v4
183,3,112112,1,1,1,0,1,1,1,1,1,1,1,1,1,yNedoaDMO0eAMEjw
184,3,112116,1,1,1,1,1,1,1,1,1,1,1,1,1,beaJAWw46EWAvw16
185,3,112118,1,1,0,0,0,1,1,1,1,1,1,1,1,Yxq827vk4e8oMWZ0
186,3,112121,1,1,1,1,1,1,1,1,1,1,1,1,1,BdVOAGVQVXE968JL
187,1,112122,1,0,1,1,1,1,1,1,1,1,1,1,1,EZ8qox1406626JVW
188,2,112123,1,1,1,1,1,1,1,1,1,1,1,1,1,81K7AmpDv1N9ZmyO
189,3,112124,1,1,1,1,1,1,1,1,1,1,1,1,1,Vw142r07XKRAaNPX
190,3,112128,1,0,1,1,1,0,1,0,0,1,1,0,1,Dg7LANXaK4J2zm8y
191,1,112148,1,0,1,1,1,1,1,1,1,1,1,1,1,NaBzABQbnNv9YyVM
192,1,112159,1,0,1,1,1,1,1,1,1,1,1,1,1,D5je9bWbnKMARMYl
193,3,112162,1,0,0,1,0,0,1,1,1,0,1,1,1,JkVd2ndvvWgAnLDq
194,5,112168,1,0,0,0,0,0,1,0,0,0,0,0,1,vGWjoqeM70PozDOX
195,1,112202,1,0,1,1,1,1,1,1,1,1,1,1,1,JLQkAYQ1PlZAOeDG
196,3,112251,1,0,0,0,0,1,1,1,1,0,1,0,1,Vj6N98RRexGo8drl
197,3,112309,0,0,0,0,0,1,1,0,0,0,0,0,99,EZ8qoxjyYxv96JVW
198,3,112344,1,0,0,0,0,1,1,1,0,0,0,0,1,VXGWAkX5rxrovNZ0
